Carimbo de data/hora,Entre com seu identificador de usuário (número do cartão UFRGS),Consegui completar a tarefa.,Dificuldade,Tempo gasto,Marque todas que se aplicam
8/10/2023 11:12:43,22,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito cansativo fazer a tarefa"
8/10/2023 11:13:00,2,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo inclinar,Acho que gastei mais tempo para realizar a tarefa no modo inclinar,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 11:14:24,21,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 11:18:58,11,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,Achei muito divertido fazer a tarefa
8/10/2023 11:20:22,18,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa"
8/10/2023 11:20:57,8,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 11:21:38,07,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa"
8/10/2023 11:23:07,6,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais ou menos o mesmo tempo para realizar as tarefas,"Se precisasse fazer novamente este teste, eu teria medo de bater o carro, Achei muito cansativo fazer a tarefa"
8/10/2023 11:23:45,14,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo inclinar,Acho que gastei mais tempo para realizar a tarefa no modo inclinar,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito cansativo fazer a tarefa"
8/10/2023 11:24:31,12,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 11:26:37,05,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 11:26:50,19,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais ou menos o mesmo tempo para realizar as tarefas,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito cansativo fazer a tarefa"
8/10/2023 11:27:54,01,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo inclinar,Acho que gastei mais tempo para realizar a tarefa no modo inclinar,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 11:28:54,23,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo inclinar,Acho que gastei mais tempo para realizar a tarefa no modo inclinar,Achei muito cansativo fazer a tarefa
8/10/2023 11:29:36,04,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo inclinar,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 11:30:16,17,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo inclinar,Acho que gastei mais ou menos o mesmo tempo para realizar as tarefas,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito cansativo fazer a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 11:31:12,10,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito cansativo fazer a tarefa"
8/10/2023 11:33:30,16,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Se precisasse fazer novamente este teste, eu teria medo de bater o carro, Achei muito divertido fazer a tarefa"
8/10/2023 11:37:18,03,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 11:38:58,09,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo inclinar,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 11:41:12,15,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais ou menos o mesmo tempo para realizar as tarefas,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 11:57:11,41,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 12:03:36,19,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais ou menos o mesmo tempo para realizar as tarefas,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito cansativo fazer a tarefa"
8/10/2023 14:19:57,24,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais ou menos o mesmo tempo para realizar as tarefas,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 14:26:55,33,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo inclinar,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 14:26:56,25,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa"
8/10/2023 14:27:45,30,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais ou menos o mesmo tempo para realizar as tarefas,Achei muito divertido fazer a tarefa
8/10/2023 14:29:30,28,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo inclinar,Acho que gastei mais ou menos o mesmo tempo para realizar as tarefas,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 14:30:17,26,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa"
8/10/2023 14:31:52,32,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Se precisasse fazer novamente este teste, eu teria medo de bater o carro, Achei muito divertido fazer a tarefa"
8/10/2023 14:32:09,27,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo inclinar,Acho que gastei mais ou menos o mesmo tempo para realizar as tarefas,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa"
8/10/2023 14:32:49,37,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Se precisasse fazer novamente este teste, eu teria medo de bater o carro, Achei muito cansativo fazer a tarefa"
8/10/2023 14:33:22,34,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo inclinar,Acho que gastei mais tempo para realizar a tarefa no modo inclinar,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 14:38:53,39,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo inclinar,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 14:39:07,35,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Se precisasse fazer novamente este teste, eu teria medo de bater o carro, Achei muito divertido fazer a tarefa"
8/10/2023 14:40:10,31,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 14:44:13,40,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 14:47:33,38,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"